,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
7543,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07543.graph,509900.0,507100,507100,509900,482936
7544,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07544.graph,515158.0,514344,514344,515158,481897
7545,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07545.graph,504792.0,500548,500548,504563,469219
7546,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07546.graph,519272.0,511340,511340,518607,481882
7547,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07547.graph,523633.0,523409,523409,523633,486924
7548,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07548.graph,516724.0,511081,511081,516724,479978
7549,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07549.graph,518611.0,516668,516668,518611,484322
7550,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07550.graph,508363.0,505165,505165,507957,467645
7551,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07551.graph,536654.0,536654,536654,536654,493098
7552,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07552.graph,511119.0,511119,511119,511119,473576
7553,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07553.graph,513081.0,512634,512634,513081,475024
7554,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07554.graph,523543.0,520341,520341,523035,481963
7555,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07555.graph,505173.0,502974,502974,505173,463896
7556,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07556.graph,513872.0,513872,513872,513872,482820
7557,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07557.graph,513407.0,513379,513379,513407,470725
7558,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07558.graph,525494.0,517248,517248,524666,489414
7559,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_07559.graph,519505.0,519505,519505,519505,483386
