,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
3615,erdos-reyni-n1000-p0.005--maxw2000-seed5_4251.graph,,461886,461886,488708,458296
3616,erdos-reyni-n1000-p0.005--maxw2000-seed5_4252.graph,,481967,481967,498352,446768
3617,erdos-reyni-n1000-p0.005--maxw2000-seed5_4253.graph,,470012,470012,485670,457701
3618,erdos-reyni-n1000-p0.005--maxw2000-seed5_4254.graph,,474068,474068,481573,447312
3619,erdos-reyni-n1000-p0.005--maxw2000-seed5_4255.graph,,489125,489125,496903,456121
3620,erdos-reyni-n1000-p0.005--maxw2000-seed5_4256.graph,,472867,472867,492246,458959
3621,erdos-reyni-n1000-p0.005--maxw2000-seed5_4257.graph,,472830,472830,491218,444530
3622,erdos-reyni-n1000-p0.005--maxw2000-seed5_4258.graph,,483277,483277,493620,459747
3623,erdos-reyni-n1000-p0.005--maxw2000-seed5_4259.graph,,458313,458313,477655,438990
3624,erdos-reyni-n1000-p0.005--maxw2000-seed5_426.graph,,474243,474243,498122,459824
3625,erdos-reyni-n1000-p0.005--maxw2000-seed5_4260.graph,,485744,485744,496512,455531
3626,erdos-reyni-n1000-p0.005--maxw2000-seed5_4261.graph,,475447,475447,499210,460244
3627,erdos-reyni-n1000-p0.005--maxw2000-seed5_4262.graph,,479809,479809,495069,454831
3628,erdos-reyni-n1000-p0.005--maxw2000-seed5_4263.graph,,475293,475293,495323,447757
3629,erdos-reyni-n1000-p0.005--maxw2000-seed5_4264.graph,,469662,469662,499229,460504
3630,erdos-reyni-n1000-p0.005--maxw2000-seed5_4265.graph,,488695,488695,506663,462572
3631,erdos-reyni-n1000-p0.005--maxw2000-seed5_4266.graph,,497081,497081,504584,464901
3632,erdos-reyni-n1000-p0.005--maxw2000-seed5_4267.graph,,492775,492775,506596,473205
3633,erdos-reyni-n1000-p0.005--maxw2000-seed5_4268.graph,,504317,504317,519015,464315
3634,erdos-reyni-n1000-p0.005--maxw2000-seed5_4269.graph,,480760,480760,492520,461864
3635,erdos-reyni-n1000-p0.005--maxw2000-seed5_427.graph,,496391,496391,504327,450795
3636,erdos-reyni-n1000-p0.005--maxw2000-seed5_4270.graph,,471644,471644,493421,457982
3637,erdos-reyni-n1000-p0.005--maxw2000-seed5_4271.graph,511210.0,502573,502573,511123,472792
3638,erdos-reyni-n1000-p0.005--maxw2000-seed5_4272.graph,,493450,493450,512990,471464
3639,erdos-reyni-n1000-p0.005--maxw2000-seed5_4273.graph,,466406,466406,491740,451184
3640,erdos-reyni-n1000-p0.005--maxw2000-seed5_4274.graph,,503980,503980,512619,469849
3641,erdos-reyni-n1000-p0.005--maxw2000-seed5_4275.graph,,484040,484040,497322,455739
3642,erdos-reyni-n1000-p0.005--maxw2000-seed5_4276.graph,,480485,480485,500820,474441
3643,erdos-reyni-n1000-p0.005--maxw2000-seed5_4277.graph,,470960,470960,491382,447105
3644,erdos-reyni-n1000-p0.005--maxw2000-seed5_4278.graph,,481725,481725,499822,456360
3645,erdos-reyni-n1000-p0.005--maxw2000-seed5_4279.graph,,473365,473365,491018,446760
3646,erdos-reyni-n1000-p0.005--maxw2000-seed5_428.graph,,470538,470538,500311,455088
3647,erdos-reyni-n1000-p0.005--maxw2000-seed5_4280.graph,,471358,471358,507723,474552
3648,erdos-reyni-n1000-p0.005--maxw2000-seed5_4281.graph,,485562,485562,501129,460695
3649,erdos-reyni-n1000-p0.005--maxw2000-seed5_4282.graph,,479894,479894,491936,453568
3650,erdos-reyni-n1000-p0.005--maxw2000-seed5_4283.graph,,467798,467798,489744,449793
3651,erdos-reyni-n1000-p0.005--maxw2000-seed5_4284.graph,,487872,487872,499234,466775
3652,erdos-reyni-n1000-p0.005--maxw2000-seed5_4285.graph,,495988,495988,504680,470659
3653,erdos-reyni-n1000-p0.005--maxw2000-seed5_4286.graph,511931.0,506549,506549,511306,474645
3654,erdos-reyni-n1000-p0.005--maxw2000-seed5_4287.graph,,480101,480101,496326,462853
3655,erdos-reyni-n1000-p0.005--maxw2000-seed5_4288.graph,,483654,483654,495978,464256
3656,erdos-reyni-n1000-p0.005--maxw2000-seed5_4289.graph,,490496,490496,493796,461678
3657,erdos-reyni-n1000-p0.005--maxw2000-seed5_429.graph,,446297,446297,484087,440229
3658,erdos-reyni-n1000-p0.005--maxw2000-seed5_4290.graph,,473088,473088,495711,456297
3659,erdos-reyni-n1000-p0.005--maxw2000-seed5_4291.graph,,477798,477798,507792,477729
3660,erdos-reyni-n1000-p0.005--maxw2000-seed5_4292.graph,,480120,480120,499477,474173
3661,erdos-reyni-n1000-p0.005--maxw2000-seed5_4293.graph,,489471,489471,504493,454981
3662,erdos-reyni-n1000-p0.005--maxw2000-seed5_4294.graph,,490261,490261,503765,462651
3663,erdos-reyni-n1000-p0.005--maxw2000-seed5_4295.graph,,483054,483054,501923,481297
3664,erdos-reyni-n1000-p0.005--maxw2000-seed5_4296.graph,,485186,485186,501435,465690
3665,erdos-reyni-n1000-p0.005--maxw2000-seed5_4297.graph,,477627,477627,494552,453453
3666,erdos-reyni-n1000-p0.005--maxw2000-seed5_4298.graph,500063.0,486702,486702,499790,457325
