,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
327,erdos-reyni-n200-p0.1--maxw400-seed20_393.graph,9907,6904,6904,9907,7939
328,erdos-reyni-n200-p0.1--maxw400-seed20_394.graph,9996,6913,6913,9972,8242
329,erdos-reyni-n200-p0.1--maxw400-seed20_395.graph,10420,6235,6235,10420,9007
330,erdos-reyni-n200-p0.1--maxw400-seed20_396.graph,10720,7513,7513,10720,8602
331,erdos-reyni-n200-p0.1--maxw400-seed20_397.graph,10140,7684,7684,10140,8884
332,erdos-reyni-n200-p0.1--maxw400-seed20_398.graph,9453,6751,6751,9453,7728
333,erdos-reyni-n200-p0.1--maxw400-seed20_399.graph,9628,7377,7377,9628,7855
334,erdos-reyni-n200-p0.1--maxw400-seed20_4.graph,9990,6581,6581,9990,8847
335,erdos-reyni-n200-p0.1--maxw400-seed20_40.graph,10270,7955,7955,10270,8534
336,erdos-reyni-n200-p0.1--maxw400-seed20_400.graph,9539,5089,5089,9539,7236
337,erdos-reyni-n200-p0.1--maxw400-seed20_401.graph,10601,6554,6554,10601,8473
338,erdos-reyni-n200-p0.1--maxw400-seed20_402.graph,9828,7669,7669,9828,8086
339,erdos-reyni-n200-p0.1--maxw400-seed20_403.graph,10474,7683,7683,10474,8796
340,erdos-reyni-n200-p0.1--maxw400-seed20_404.graph,10439,8064,8064,10439,9122
341,erdos-reyni-n200-p0.1--maxw400-seed20_405.graph,9663,6144,6144,9663,8545
342,erdos-reyni-n200-p0.1--maxw400-seed20_406.graph,11187,8122,8122,11187,9081
343,erdos-reyni-n200-p0.1--maxw400-seed20_407.graph,10529,6184,6184,10529,8639
344,erdos-reyni-n200-p0.1--maxw400-seed20_408.graph,10001,6431,6431,10001,8133
345,erdos-reyni-n200-p0.1--maxw400-seed20_409.graph,10463,7026,7026,10463,8265
346,erdos-reyni-n200-p0.1--maxw400-seed20_41.graph,9395,6450,6450,9395,7834
347,erdos-reyni-n200-p0.1--maxw400-seed20_410.graph,9832,7194,7194,9832,8750
348,erdos-reyni-n200-p0.1--maxw400-seed20_411.graph,10195,6157,6157,10195,8020
349,erdos-reyni-n200-p0.1--maxw400-seed20_412.graph,10031,7020,7020,9977,9358
350,erdos-reyni-n200-p0.1--maxw400-seed20_413.graph,10166,6844,6844,10166,8149
351,erdos-reyni-n200-p0.1--maxw400-seed20_414.graph,11204,8135,8135,11204,8549
352,erdos-reyni-n200-p0.1--maxw400-seed20_415.graph,9696,7259,7259,9576,8674
353,erdos-reyni-n200-p0.1--maxw400-seed20_416.graph,9319,6728,6728,9185,7897
354,erdos-reyni-n200-p0.1--maxw400-seed20_417.graph,9836,7530,7530,9788,7414
355,erdos-reyni-n200-p0.1--maxw400-seed20_418.graph,10394,6137,6137,10394,8973
356,erdos-reyni-n200-p0.1--maxw400-seed20_419.graph,9863,7081,7081,9863,9082
357,erdos-reyni-n200-p0.1--maxw400-seed20_42.graph,10118,6300,6300,10118,8265
358,erdos-reyni-n200-p0.1--maxw400-seed20_420.graph,10571,6832,6832,10571,8714
359,erdos-reyni-n200-p0.1--maxw400-seed20_421.graph,10066,6605,6605,10066,8464
360,erdos-reyni-n200-p0.1--maxw400-seed20_422.graph,9875,7652,7652,9875,8778
361,erdos-reyni-n200-p0.1--maxw400-seed20_423.graph,10206,7282,7282,10206,8977
362,erdos-reyni-n200-p0.1--maxw400-seed20_424.graph,9686,6334,6334,9686,7531
363,erdos-reyni-n200-p0.1--maxw400-seed20_425.graph,9851,6567,6567,9682,7930
364,erdos-reyni-n200-p0.1--maxw400-seed20_426.graph,9513,6994,6994,9513,8122
365,erdos-reyni-n200-p0.1--maxw400-seed20_427.graph,10035,7070,7070,10012,8496
366,erdos-reyni-n200-p0.1--maxw400-seed20_428.graph,9982,6032,6032,9982,9108
367,erdos-reyni-n200-p0.1--maxw400-seed20_429.graph,9917,6499,6499,9917,8445
368,erdos-reyni-n200-p0.1--maxw400-seed20_43.graph,10479,7448,7448,10479,8653
369,erdos-reyni-n200-p0.1--maxw400-seed20_430.graph,10068,7233,7233,9779,9128
370,erdos-reyni-n200-p0.1--maxw400-seed20_431.graph,9937,7322,7322,9937,8084
371,erdos-reyni-n200-p0.1--maxw400-seed20_432.graph,9446,6949,6949,9446,8283
372,erdos-reyni-n200-p0.1--maxw400-seed20_433.graph,10097,5769,5769,10097,8365
373,erdos-reyni-n200-p0.1--maxw400-seed20_434.graph,9375,5782,5782,9327,8661
374,erdos-reyni-n200-p0.1--maxw400-seed20_435.graph,10528,7429,7429,10347,8643
375,erdos-reyni-n200-p0.1--maxw400-seed20_436.graph,9726,5731,5731,9693,7901
376,erdos-reyni-n200-p0.1--maxw400-seed20_437.graph,9851,6232,6232,9851,8559
377,erdos-reyni-n200-p0.1--maxw400-seed20_438.graph,9877,6939,6939,9877,7684
378,erdos-reyni-n200-p0.1--maxw400-seed20_439.graph,10383,6597,6597,10383,8858
379,erdos-reyni-n200-p0.1--maxw400-seed20_44.graph,10303,6793,6793,10303,8116
380,erdos-reyni-n200-p0.1--maxw400-seed20_440.graph,9690,7620,7620,9690,8777
381,erdos-reyni-n200-p0.1--maxw400-seed20_441.graph,9874,6804,6804,9825,7746
382,erdos-reyni-n200-p0.1--maxw400-seed20_442.graph,9986,7919,7919,9986,8102
383,erdos-reyni-n200-p0.1--maxw400-seed20_443.graph,10608,8263,8263,10608,9814
384,erdos-reyni-n200-p0.1--maxw400-seed20_444.graph,10170,7526,7526,10170,9278
385,erdos-reyni-n200-p0.1--maxw400-seed20_445.graph,9719,6965,6965,9719,8730
386,erdos-reyni-n200-p0.1--maxw400-seed20_446.graph,10571,8478,8478,10571,8661
387,erdos-reyni-n200-p0.1--maxw400-seed20_447.graph,9612,5742,5742,9612,8186
388,erdos-reyni-n200-p0.1--maxw400-seed20_448.graph,10056,7769,7769,10056,8735
389,erdos-reyni-n200-p0.1--maxw400-seed20_449.graph,9662,7382,7382,9662,7829
390,erdos-reyni-n200-p0.1--maxw400-seed20_45.graph,9863,7687,7687,9863,7916
391,erdos-reyni-n200-p0.1--maxw400-seed20_450.graph,9506,6847,6847,9506,8485
392,erdos-reyni-n200-p0.1--maxw400-seed20_451.graph,10678,8439,8439,10678,9009
393,erdos-reyni-n200-p0.1--maxw400-seed20_452.graph,10451,7344,7344,10451,8928
394,erdos-reyni-n200-p0.1--maxw400-seed20_453.graph,10395,6920,6920,10395,8420
395,erdos-reyni-n200-p0.1--maxw400-seed20_454.graph,10822,6120,6120,10755,8732
396,erdos-reyni-n200-p0.1--maxw400-seed20_455.graph,10381,8701,8701,10381,8572
397,erdos-reyni-n200-p0.1--maxw400-seed20_456.graph,11735,8935,8935,11735,9777
398,erdos-reyni-n200-p0.1--maxw400-seed20_457.graph,10543,7245,7245,10543,9017
399,erdos-reyni-n200-p0.1--maxw400-seed20_458.graph,10056,7286,7286,10056,8443
400,erdos-reyni-n200-p0.1--maxw400-seed20_459.graph,10625,8563,8563,10625,8770
401,erdos-reyni-n200-p0.1--maxw400-seed20_46.graph,9610,7586,7586,9610,8301
402,erdos-reyni-n200-p0.1--maxw400-seed20_460.graph,10161,6237,6237,10161,8697
403,erdos-reyni-n200-p0.1--maxw400-seed20_461.graph,9894,7382,7382,9894,9319
404,erdos-reyni-n200-p0.1--maxw400-seed20_462.graph,10470,7684,7684,10470,8643
405,erdos-reyni-n200-p0.1--maxw400-seed20_463.graph,10557,6748,6748,10557,8681
406,erdos-reyni-n200-p0.1--maxw400-seed20_464.graph,11100,8505,8505,11100,9487
407,erdos-reyni-n200-p0.1--maxw400-seed20_465.graph,10069,8047,8047,10069,9127
408,erdos-reyni-n200-p0.1--maxw400-seed20_466.graph,10231,7941,7941,10231,8931
409,erdos-reyni-n200-p0.1--maxw400-seed20_467.graph,10142,6855,6855,10142,8891
410,erdos-reyni-n200-p0.1--maxw400-seed20_468.graph,9837,8827,8827,9837,8525
411,erdos-reyni-n200-p0.1--maxw400-seed20_469.graph,10317,7165,7165,10317,8667
412,erdos-reyni-n200-p0.1--maxw400-seed20_47.graph,9600,6931,6931,9600,8226
413,erdos-reyni-n200-p0.1--maxw400-seed20_470.graph,10040,6988,6988,9967,8995
414,erdos-reyni-n200-p0.1--maxw400-seed20_471.graph,9765,5750,5750,9725,8596
415,erdos-reyni-n200-p0.1--maxw400-seed20_472.graph,10330,8172,8172,10330,9412
416,erdos-reyni-n200-p0.1--maxw400-seed20_473.graph,9391,6965,6965,9391,8774
417,erdos-reyni-n200-p0.1--maxw400-seed20_474.graph,10025,6638,6638,10025,7979
418,erdos-reyni-n200-p0.1--maxw400-seed20_475.graph,10040,6532,6532,10040,8431
419,erdos-reyni-n200-p0.1--maxw400-seed20_476.graph,10640,8550,8550,10490,8839
420,erdos-reyni-n200-p0.1--maxw400-seed20_477.graph,9482,7310,7310,9414,8577
421,erdos-reyni-n200-p0.1--maxw400-seed20_478.graph,9942,6212,6212,9942,9258
422,erdos-reyni-n200-p0.1--maxw400-seed20_479.graph,10636,7723,7723,10636,9195
423,erdos-reyni-n200-p0.1--maxw400-seed20_48.graph,10805,7669,7669,10805,9185
424,erdos-reyni-n200-p0.1--maxw400-seed20_480.graph,10191,7498,7498,10191,8938
425,erdos-reyni-n200-p0.1--maxw400-seed20_481.graph,10124,5834,5834,10124,8909
426,erdos-reyni-n200-p0.1--maxw400-seed20_482.graph,10216,6778,6778,10216,8766
427,erdos-reyni-n200-p0.1--maxw400-seed20_483.graph,9576,7401,7401,9576,8294
428,erdos-reyni-n200-p0.1--maxw400-seed20_484.graph,9855,6670,6670,9855,8356
429,erdos-reyni-n200-p0.1--maxw400-seed20_485.graph,9913,6537,6537,9913,7813
430,erdos-reyni-n200-p0.1--maxw400-seed20_486.graph,11014,7897,7897,11014,8832
431,erdos-reyni-n200-p0.1--maxw400-seed20_487.graph,10424,6621,6621,10424,9315
432,erdos-reyni-n200-p0.1--maxw400-seed20_488.graph,10300,6831,6831,10300,8456
433,erdos-reyni-n200-p0.1--maxw400-seed20_489.graph,10067,6183,6183,10067,8617
434,erdos-reyni-n200-p0.1--maxw400-seed20_49.graph,10202,7185,7185,10202,8088
435,erdos-reyni-n200-p0.1--maxw400-seed20_490.graph,10419,6990,6990,10419,9617
436,erdos-reyni-n200-p0.1--maxw400-seed20_491.graph,9998,7007,7007,9998,8081
437,erdos-reyni-n200-p0.1--maxw400-seed20_492.graph,9811,6792,6792,9811,8229
438,erdos-reyni-n200-p0.1--maxw400-seed20_493.graph,10808,7748,7748,10808,9350
439,erdos-reyni-n200-p0.1--maxw400-seed20_494.graph,9883,6870,6870,9869,8601
440,erdos-reyni-n200-p0.1--maxw400-seed20_495.graph,10849,6635,6635,10849,9615
441,erdos-reyni-n200-p0.1--maxw400-seed20_496.graph,9833,7715,7715,9833,7978
442,erdos-reyni-n200-p0.1--maxw400-seed20_497.graph,10037,7629,7629,10037,8578
443,erdos-reyni-n200-p0.1--maxw400-seed20_498.graph,9844,7306,7306,9844,8218
444,erdos-reyni-n200-p0.1--maxw400-seed20_499.graph,10203,7465,7465,10203,8518
445,erdos-reyni-n200-p0.1--maxw400-seed20_5.graph,10139,7176,7176,10139,9127
446,erdos-reyni-n200-p0.1--maxw400-seed20_50.graph,10328,7437,7437,10328,8262
447,erdos-reyni-n200-p0.1--maxw400-seed20_500.graph,10744,6777,6777,10744,8688
448,erdos-reyni-n200-p0.1--maxw400-seed20_501.graph,10108,7673,7673,10108,8456
449,erdos-reyni-n200-p0.1--maxw400-seed20_502.graph,9910,7271,7271,9910,7535
450,erdos-reyni-n200-p0.1--maxw400-seed20_503.graph,10573,7165,7165,10573,8626
451,erdos-reyni-n200-p0.1--maxw400-seed20_504.graph,9625,6560,6560,9625,7837
452,erdos-reyni-n200-p0.1--maxw400-seed20_505.graph,10152,6663,6663,10145,8004
453,erdos-reyni-n200-p0.1--maxw400-seed20_506.graph,10098,6754,6754,10098,7599
454,erdos-reyni-n200-p0.1--maxw400-seed20_507.graph,9603,6604,6604,9603,9169
455,erdos-reyni-n200-p0.1--maxw400-seed20_508.graph,9777,6929,6929,9777,7933
456,erdos-reyni-n200-p0.1--maxw400-seed20_509.graph,9776,5079,5079,9776,8877
457,erdos-reyni-n200-p0.1--maxw400-seed20_51.graph,10113,7467,7467,10113,8170
458,erdos-reyni-n200-p0.1--maxw400-seed20_510.graph,9839,6872,6872,9839,7548
459,erdos-reyni-n200-p0.1--maxw400-seed20_511.graph,9883,7575,7575,9826,7000
460,erdos-reyni-n200-p0.1--maxw400-seed20_512.graph,10740,7448,7448,10740,8448
461,erdos-reyni-n200-p0.1--maxw400-seed20_513.graph,10323,8163,8163,10311,8945
462,erdos-reyni-n200-p0.1--maxw400-seed20_514.graph,10327,6619,6619,10327,7649
463,erdos-reyni-n200-p0.1--maxw400-seed20_515.graph,9554,5608,5608,9554,8105
464,erdos-reyni-n200-p0.1--maxw400-seed20_516.graph,10336,8099,8099,10336,8332
465,erdos-reyni-n200-p0.1--maxw400-seed20_517.graph,10335,7686,7686,10224,8706
466,erdos-reyni-n200-p0.1--maxw400-seed20_518.graph,9729,7093,7093,9729,8511
467,erdos-reyni-n200-p0.1--maxw400-seed20_519.graph,11235,7941,7941,11235,8990
