name,n_nodes,n_edges,avg_deg,n_components,n_isolates,sum_weights,treewidth_min_degree,average_clustering,kamis_weight
erdos-reyni-n200-p0.1--maxw400-seed20_726,200,1945,19.45,1,0,40399,133,0.098,10246
erdos-reyni-n200-p0.1--maxw400-seed20_589,200,1961,19.61,1,0,39439,134,0.115,9965
erdos-reyni-n200-p0.1--maxw400-seed20_267,200,1988,19.88,1,0,42574,132,0.085,9915
erdos-reyni-n200-p0.1--maxw400-seed20_646,200,2011,20.11,1,0,37838,136,0.091,9852
erdos-reyni-n200-p0.1--maxw400-seed20_143,200,1998,19.98,1,0,40416,139,0.095,10186
erdos-reyni-n200-p0.1--maxw400-seed20_896,200,1997,19.97,1,0,36870,136,0.093,9464
erdos-reyni-n200-p0.1--maxw400-seed20_687,200,1998,19.98,1,0,42150,135,0.104,11074
erdos-reyni-n200-p0.1--maxw400-seed20_462,200,1990,19.9,1,0,41825,139,0.096,10470
erdos-reyni-n200-p0.1--maxw400-seed20_968,200,1969,19.69,1,0,42724,137,0.095,10954
erdos-reyni-n200-p0.1--maxw400-seed20_758,200,1975,19.75,1,0,38140,138,0.112,9861
erdos-reyni-n200-p0.1--maxw400-seed20_129,200,1998,19.98,1,0,41037,136,0.099,10056
erdos-reyni-n200-p0.1--maxw400-seed20_593,200,1998,19.98,1,0,40460,133,0.137,9736
erdos-reyni-n200-p0.1--maxw400-seed20_381,200,2101,21.01,1,0,39419,140,0.105,9446
erdos-reyni-n200-p0.1--maxw400-seed20_195,200,1959,19.59,1,0,38333,132,0.109,9742
erdos-reyni-n200-p0.1--maxw400-seed20_162,200,2020,20.2,1,0,37352,134,0.094,9320
erdos-reyni-n200-p0.1--maxw400-seed20_913,200,2021,20.21,1,0,39783,131,0.125,9794
erdos-reyni-n200-p0.1--maxw400-seed20_475,200,1975,19.75,1,0,38583,136,0.106,10040
erdos-reyni-n200-p0.1--maxw400-seed20_316,200,2014,20.14,1,0,42428,134,0.09,10594
erdos-reyni-n200-p0.1--maxw400-seed20_945,200,1958,19.58,1,0,39599,133,0.088,10191
erdos-reyni-n200-p0.1--maxw400-seed20_840,200,2008,20.08,1,0,40406,137,0.101,9812
erdos-reyni-n200-p0.1--maxw400-seed20_194,200,2039,20.39,1,0,36928,134,0.094,9470
erdos-reyni-n200-p0.1--maxw400-seed20_490,200,1935,19.35,1,0,39066,132,0.092,10419
erdos-reyni-n200-p0.1--maxw400-seed20_97,200,1992,19.92,1,0,40824,134,0.091,10894
erdos-reyni-n200-p0.1--maxw400-seed20_983,200,1969,19.69,1,0,40371,136,0.113,10527
erdos-reyni-n200-p0.1--maxw400-seed20_650,200,2006,20.06,1,0,39695,135,0.088,9564
erdos-reyni-n200-p0.1--maxw400-seed20_277,200,1978,19.78,1,0,40207,133,0.066,10236
erdos-reyni-n200-p0.1--maxw400-seed20_878,200,1962,19.62,1,0,39611,133,0.102,10442
erdos-reyni-n200-p0.1--maxw400-seed20_954,200,1980,19.8,1,0,39564,132,0.129,10764
erdos-reyni-n200-p0.1--maxw400-seed20_78,200,2054,20.54,1,0,41520,138,0.107,10189
erdos-reyni-n200-p0.1--maxw400-seed20_393,200,2007,20.07,1,0,40435,132,0.113,9907
erdos-reyni-n200-p0.1--maxw400-seed20_149,200,1971,19.71,1,0,43536,134,0.097,10393
erdos-reyni-n200-p0.1--maxw400-seed20_165,200,2024,20.24,1,0,37560,139,0.098,9362
erdos-reyni-n200-p0.1--maxw400-seed20_372,200,1953,19.53,1,0,39770,131,0.12,10428
erdos-reyni-n200-p0.1--maxw400-seed20_651,200,1967,19.67,1,0,38757,133,0.098,9729
erdos-reyni-n200-p0.1--maxw400-seed20_781,200,1969,19.69,1,0,38696,141,0.093,10233
erdos-reyni-n200-p0.1--maxw400-seed20_198,200,2039,20.39,1,0,43210,138,0.108,10276
erdos-reyni-n200-p0.1--maxw400-seed20_349,200,2000,20.0,1,0,37583,134,0.092,9699
erdos-reyni-n200-p0.1--maxw400-seed20_309,200,1995,19.95,1,0,43527,137,0.101,10953
erdos-reyni-n200-p0.1--maxw400-seed20_836,200,1978,19.78,1,0,39262,136,0.107,10310
erdos-reyni-n200-p0.1--maxw400-seed20_394,200,1980,19.8,1,0,39142,133,0.085,9996
erdos-reyni-n200-p0.1--maxw400-seed20_324,200,1995,19.95,1,0,39432,133,0.095,10296
erdos-reyni-n200-p0.1--maxw400-seed20_374,200,2060,20.6,1,0,40593,138,0.114,9619
erdos-reyni-n200-p0.1--maxw400-seed20_849,200,1952,19.52,1,0,42030,132,0.111,10183
erdos-reyni-n200-p0.1--maxw400-seed20_135,200,2021,20.21,1,0,41021,135,0.1,9940
erdos-reyni-n200-p0.1--maxw400-seed20_888,200,1973,19.73,1,0,41269,130,0.098,10328
erdos-reyni-n200-p0.1--maxw400-seed20_813,200,2025,20.25,1,0,39927,133,0.102,9777
erdos-reyni-n200-p0.1--maxw400-seed20_465,200,1954,19.54,1,0,37606,136,0.118,10069
erdos-reyni-n200-p0.1--maxw400-seed20_559,200,1999,19.99,1,0,40655,135,0.104,10719
erdos-reyni-n200-p0.1--maxw400-seed20_850,200,1967,19.67,1,0,38392,131,0.097,9717
erdos-reyni-n200-p0.1--maxw400-seed20_818,200,1971,19.71,1,0,39168,133,0.117,9922
erdos-reyni-n200-p0.1--maxw400-seed20_617,200,2026,20.26,1,0,38953,134,0.102,9949
erdos-reyni-n200-p0.1--maxw400-seed20_694,200,2032,20.32,1,0,37725,135,0.107,10010
erdos-reyni-n200-p0.1--maxw400-seed20_412,200,2007,20.07,1,0,39363,132,0.1,10031
erdos-reyni-n200-p0.1--maxw400-seed20_223,200,1937,19.37,1,0,37541,131,0.092,10436
erdos-reyni-n200-p0.1--maxw400-seed20_722,200,2043,20.43,1,0,42716,138,0.108,10612
erdos-reyni-n200-p0.1--maxw400-seed20_502,200,2016,20.16,1,0,40470,135,0.09,9910
erdos-reyni-n200-p0.1--maxw400-seed20_942,200,1996,19.96,1,0,40950,136,0.108,10557
erdos-reyni-n200-p0.1--maxw400-seed20_468,200,2006,20.06,1,0,42251,136,0.109,9837
erdos-reyni-n200-p0.1--maxw400-seed20_785,200,1987,19.87,1,0,40682,138,0.097,9762
erdos-reyni-n200-p0.1--maxw400-seed20_826,200,1958,19.58,1,0,41349,134,0.11,10435
erdos-reyni-n200-p0.1--maxw400-seed20_57,200,2055,20.55,1,0,39525,135,0.105,10298
erdos-reyni-n200-p0.1--maxw400-seed20_817,200,2073,20.73,1,0,41376,136,0.101,9786
erdos-reyni-n200-p0.1--maxw400-seed20_757,200,2007,20.07,1,0,37765,135,0.094,9809
